Time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
62;19622;26886;18641;29929;5621;46479;50238;28855;7,67;41,32
63;19668;26882;18637;29946;5566;46481;50220;28881;7,67;41,33
64;19606;26850;18573;29965;5588;46554;50234;28839;7,67;41,32
65;19583;26858;18621;29925;5554;46467;50278;28909;7,67;41,33
66;19563;26824;18598;29902;5498;46403;50202;28837;7,67;41,32
67;19566;26963;18643;29962;5602;46395;50261;28815;7,59;41,33
68;19642;27030;18681;29911;5556;46470;50269;28848;7,67;41,33
69;19548;26917;18536;29935;5581;46472;50292;28847;7,67;41,33
70;19527;26871;18524;29948;5613;46461;50216;28879;7,67;41,33
71;19604;26993;18564;29879;5649;46415;50274;28857;7,67;41,32
72;19531;26859;18540;29846;5629;46473;50262;28886;7,67;41,32
73;19540;26832;18571;29933;5688;46400;50148;28852;7,67;41,32
74;19514;26983;18508;29946;5670;46422;50265;28930;7,59;41,31
75;19524;26923;18569;29946;5652;46448;50130;28852;7,59;41,31
76;19544;26926;18456;29935;5635;46472;50202;28827;7,67;41,32
77;19504;26949;18558;29944;5578;46486;50262;28818;7,63;41,32
78;19601;26846;18554;29893;5639;46437;50211;28815;7,63;41,34
79;19525;26850;18534;29883;5627;46410;50201;28827;7,59;41,32
80;19551;26932;18377;29913;5599;46434;50198;28842;7,59;41,32
81;19517;26926;18539;29913;5693;46474;50179;28871;7,59;41,33
82;19483;26870;18412;29892;5649;46457;50186;28876;7,59;41,32
83;19604;26815;18542;29900;5663;46432;50126;28815;7,67;41,33
84;19540;26840;18500;29855;5665;46521;50207;28859;7,59;41,33
85;19473;26997;18479;29893;5553;46392;50116;28917;7,59;41,33
86;19498;26912;18407;29912;5674;46476;50174;28833;7,59;41,32
87;19452;26952;18474;29920;5573;46412;50152;28837;7,59;41,33
88;19444;26849;18518;29895;5613;46441;50171;28861;7,59;41,33
89;19456;26758;18432;29862;5627;46476;50130;28839;7,59;41,34
90;19421;26842;18469;29831;5594;46436;50198;28871;7,59;41,33
91;19463;26944;18413;29859;5658;46444;50152;28867;7,67;41,32
92;19490;26890;18422;29908;5589;46406;50117;28838;7,59;41,33
93;19403;26811;18429;29939;5645;46464;50116;28802;7,59;41,32
94;19398;26841;18537;29838;5635;46527;50205;28889;7,59;41,33
95;19392;26809;18464;29837;5670;46401;50176;28850;7,59;41,32
96;19379;26941;18446;29885;5656;46442;50180;28813;7,63;41,33
97;19461;26804;18455;29830;5661;46409;50202;28829;7,59;41,33
98;19474;26795;18443;29839;5652;46466;50152;28766;7,67;41,33
99;19440;26997;18434;29943;5582;46409;50126;28845;7,59;41,33
100;19406;26798;18506;29815;5583;46381;50145;28821;7,59;41,33
101;19415;26790;18445;29856;5644;46397;50100;28858;7,59;41,32
102;19427;26896;18468;29837;5627;46404;50155;28787;7,59;41,32
103;19442;26768;18457;29818;5655;46365;50203;28791;7,67;41,33
104;19450;26809;18436;29868;5613;46450;50168;28885;7,59;41,33
105;19431;27002;18560;29957;5645;46388;50225;28840;7,59;41,32
106;19418;26816;18553;29816;5682;46438;50096;28832;7,63;41,34
107;19521;26848;18401;29824;5620;46507;50127;28841;7,67;41,32
108;19475;26892;18508;29894;5559;46485;50157;28876;7,67;41,33
109;19471;26767;18516;29869;5637;46470;50172;28798;7,63;41,33
110;19480;26780;18470;29855;5595;46510;50211;28852;7,59;41,32
111;19451;26817;18467;29806;5657;46473;50152;28822;7,59;41,33
112;19494;26824;18419;29881;5688;46420;50096;28808;7,67;41,32
113;19501;26939;18446;29847;5513;46530;50119;28851;7,59;41,33
114;19497;26961;18469;29855;5633;46422;50253;28874;7,59;41,31
115;19473;26831;18500;29816;5569;46529;50149;28885;7,59;41,32
116;19441;26890;18419;29797;5677;46486;50213;28795;7,59;41,32
117;19482;26856;18482;29865;5592;46379;50143;28804;7,59;41,32
118;19359;26777;18443;29806;5581;46472;50158;28843;7,59;41,32
119;19418;26832;18495;29865;5662;46495;50110;28808;7,59;41,32
120;19399;26806;18370;29812;5674;46506;50105;28790;7,59;41,32
121;19413;26879;18460;29859;5640;46442;50130;28865;7,63;41,32
122;19483;26898;18506;29785;5591;46444;50180;28909;7,67;41,34
123;19493;26885;18478;29875;5637;46446;50131;28832;7,67;41,32
124;19554;26919;18484;29875;5629;46442;50174;28868;7,67;41,32
125;19476;26943;18503;29834;5625;46464;50140;28827;7,67;41,32
126;19517;26850;18566;29876;5705;46486;50200;28838;7,59;41,33
127;19437;26818;18526;29853;5565;46479;50182;28901;7,67;41,32
128;19459;26859;18556;29880;5648;46509;50262;28865;7,67;41,32
129;19505;26899;18582;29860;5606;46516;50222;28843;7,67;41,31
130;19482;26943;18580;29801;5621;46461;50144;28822;7,67;41,32
131;19553;26970;18618;29823;5690;46499;50185;28808;7,67;41,33
132;19497;26880;18533;29901;5571;46604;50143;28865;7,67;41,33
133;19523;26970;18563;29930;5660;46429;50179;28835;7,63;41,32
134;19521;26748;18534;29915;5697;46485;50121;28889;7,67;41,33
135;19610;26963;18597;29923;5587;46477;50257;28928;7,67;41,32
136;19490;26929;18580;29929;5654;46401;50216;28861;7,67;41,33
137;19554;26958;18506;29913;5648;46486;50229;28906;7,67;41,32
138;19523;26984;18546;29841;5595;46586;50279;28871;7,67;41,32
139;19574;26957;18629;29873;5581;46406;50236;28788;7,67;41,32
140;19591;26983;18539;29850;5663;46487;50241;28777;7,67;41,32
141;19510;26839;18552;29855;5670;46472;50255;28902;7,63;41,32
142;19528;26873;18577;29882;5617;46485;50254;28918;7,59;41,32
143;19532;26898;18569;29948;5657;46475;50188;28906;7,67;41,32
144;19528;26858;18503;29868;5613;46544;50181;28832;7,67;41,31
145;19569;26906;18517;29917;5679;46468;50157;28904;7,67;41,33
146;19541;26758;18574;29935;5606;46524;50232;28916;7,59;41,33
147;19568;26805;18499;29917;5701;46536;50250;28846;7,59;41,32
148;19608;26845;18550;29857;5561;46433;50158;28915;7,59;41,32
149;19535;26788;18515;29940;5597;46500;50233;28858;7,67;41,33
150;19483;26741;18532;29893;5623;46457;50186;28836;7,59;41,32
151;19455;26890;18446;29902;5613;46464;50188;28916;7,59;41,32
152;19490;26796;18437;29903;5546;46478;50146;28856;7,59;41,31
153;19536;26784;18468;29911;5546;46512;50260;28885;7,59;41,32
154;19493;26754;18403;29898;5598;46514;50107;28838;7,59;41,33
155;19521;26763;18416;29914;5618;46459;50181;28848;7,56;41,32
156;19437;26800;18424;29818;5581;46441;50171;28845;7,59;41,32
157;19483;26897;18467;29860;5655;46512;50161;28888;7,59;41,32
158;19404;26759;18372;29762;5594;46467;50100;28865;7,59;41,32
159;19458;26741;18429;29844;5671;46341;50102;28830;7,59;41,31
160;19420;26779;18407;29718;5665;46521;50088;28820;7,59;41,31
161;19451;26765;18284;29814;5600;46512;50107;28886;7,59;41,32
162;19378;26720;18443;29809;5560;46463;50046;28891;7,59;41,32
163;19481;26756;18350;29767;5575;46455;50107;28854;7,59;41,31
164;19363;26835;18362;29812;5644;46389;50020;28751;7,59;41,32
165;19399;26734;18444;29768;5676;46434;50086;28911;7,59;41,31
166;19367;26722;18425;29790;5565;46421;50074;28822;7,59;41,32
167;19331;26815;18498;29780;5604;46433;50114;28819;7,59;41,32
168;19430;26727;18446;29810;5597;46458;50130;28916;7,59;41,33
169;19288;26681;18356;29810;5640;46406;50066;28838;7,59;41,32
170;19358;26877;18376;29843;5635;46474;50069;28885;7,59;41,32
171;19326;26735;18389;29779;5646;46442;50047;28831;7,59;41,33
172;19373;26796;18356;29745;5545;46490;50001;28762;7,59;41,33
173;19343;26798;18416;29767;5608;46420;50088;28823;7,59;41,32
174;19294;26682;18467;29739;5589;46470;50054;28822;7,67;41,33
175;19395;26826;18352;29814;5619;46352;50093;28883;7,67;41,33
176;19297;26699;18331;29741;5597;46381;50092;28830;7,59;41,32
177;19329;26590;18389;29779;5613;46333;50004;28898;7,59;41,32
178;19289;26825;18442;29771;5595;46447;50034;28795;7,59;41,32
179;19283;26727;18324;29801;5585;46498;50026;28851;7,59;41,33
180;19309;26736;18313;29770;5623;46494;50027;28825;7,59;41,33
181;19321;26654;18408;29727;5471;46493;50039;28828;7,59;41,34
182;19258;26705;18345;29795;5622;46437;50009;28795;7,67;41,33
183;19255;26781;18333;29750;5573;46444;50023;28823;7,59;41,33
184;19290;26644;18424;29772;5589;46449;49983;28862;7,59;41,33
185;19285;26739;18381;29758;5580;46438;50039;28803;7,59;41,32
186;19259;26680;18281;29719;5622;46413;50044;28879;7,59;41,32
187;19292;26687;18356;29756;5603;46468;49949;28836;7,59;41,32
188;19328;26717;18464;29721;5563;46371;49924;28820;7,59;41,33
189;19289;26641;18370;29766;5606;46466;50040;28840;7,59;41,32
190;19195;26601;18286;29715;5632;46415;50016;28829;7,59;41,33
191;19277;26674;18329;29723;5635;46346;49963;28842;7,63;41,32
192;19185;26697;18283;29709;5633;46465;50030;28767;7,59;41,32
193;19193;26761;18260;29738;5586;46424;49968;28827;7,59;41,32
194;19193;26738;18228;29650;5661;46462;50032;28826;7,59;41,31
195;19212;26633;18357;29714;5674;46409;49987;28808;7,59;41,32
196;19118;26656;18347;29654;5611;46422;49955;28840;7,59;41,32
197;19140;26679;18295;29661;5627;46437;49982;28813;7,59;41,32
198;19199;26786;18323;29686;5612;46444;49993;28797;7,59;41,33
199;19252;26746;18309;29617;5623;46432;49943;28878;7,59;41,32
200;19190;26632;18301;29674;5618;46449;50008;28850;7,59;41,32
201;19145;26658;18324;29639;5578;46405;49938;28844;7,59;41,31
202;19141;26687;18279;29642;5656;46439;49990;28814;7,59;41,31
203;19108;26672;18245;29649;5610;46396;49940;28818;7,59;41,31
204;19226;26658;18237;29743;5625;46464;50031;28761;7,59;41,32
205;19152;26676;18349;29638;5534;46458;49936;28755;7,59;41,33
206;19119;26660;18351;29727;5615;46488;49899;28853;7,59;41,33
207;19153;26797;18263;29592;5580;46410;49964;28857;7,59;41,32
208;19219;26796;18288;29685;5692;46436;49899;28856;7,59;41,33
209;19167;26787;18274;29584;5599;46455;49895;28788;7,59;41,33
210;19093;26805;18224;29600;5587;46440;49995;28715;7,59;41,33
211;19086;26619;18250;29581;5657;46441;49914;28836;7,59;41,32
212;19014;26683;18296;29663;5664;46439;49930;28792;7,59;41,33
213;19135;26668;18250;29677;5600;46378;49926;28743;7,59;41,32
214;19017;26631;18242;29600;5618;46418;49926;28778;7,59;41,34
215;19106;26736;18265;29688;5579;46433;49941;28827;7,59;41,32
216;19137;26741;18204;29668;5706;46452;49916;28810;7,59;41,33
217;19071;26685;18158;29672;5605;46372;49889;28706;7,59;41,33
218;19039;26672;18324;29616;5644;46388;49928;28789;7,59;41,32
219;18983;26639;18251;29622;5635;46351;49866;28812;7,59;41,33
220;19032;26666;18207;29665;5563;46375;49942;28706;7,59;41,32
221;19076;26722;18207;29646;5563;46469;49936;28724;7,59;41,32
222;19087;26681;18217;29644;5529;46381;49920;28735;7,59;41,32
223;19090;26700;18250;29677;5596;46435;49892;28730;7,59;41,31
224;19107;26724;18193;29653;5656;46412;49889;28723;7,59;41,31
225;19017;26676;18266;29582;5564;46453;49860;28770;7,59;41,31
226;19018;26686;18219;29595;5646;46470;49899;28781;7,59;41,33
227;19000;26628;18207;29573;5527;46452;49857;28762;7,67;41,32
228;19020;26606;18179;29570;5589;46364;49813;28750;7,59;41,32
229;19072;26618;18247;29601;5531;46424;49927;28769;7,59;41,32
230;18954;26666;18245;29560;5576;46443;49898;28738;7,59;41,32
231;19053;26649;18242;29588;5658;46495;49884;28744;7,59;41,32
232;18991;26678;18185;29545;5610;46386;49821;28665;7,59;41,32
233;18983;26582;18201;29553;5628;46339;49864;28717;7,59;41,32
234;19023;26620;18180;29559;5547;46381;49823;28839;7,59;41,31
235;19054;26592;18103;29589;5615;46388;49857;28803;7,59;41,32
236;19023;26552;18185;29577;5524;46381;49912;28732;7,59;41,31
237;18995;26613;18185;29536;5656;46426;49764;28782;7,59;41,33
238;18998;26523;18236;29495;5536;46433;49876;28796;7,59;41,32
239;19041;26574;18216;29586;5596;46354;49874;28776;7,59;41,31
240;18986;26503;18183;29552;5548;46421;49849;28718;7,59;41,33
241;18929;26501;18146;29536;5630;46430;49841;28721;7,59;41,32
242;18968;26626;18179;29578;5591;46349;49847;28770;7,59;41,33
243;18940;26682;18202;29621;5583;46424;49797;28706;7,59;41,31
244;18952;26674;18204;29535;5518;46492;49884;28666;7,59;41,33
245;18952;26506;18265;29587;5708;46412;49810;28787;7,59;41,31
246;18963;26528;18247;29582;5580;46466;49868;28743;7,67;41,32
247;19006;26554;18221;29567;5587;46397;49911;28715;7,59;41,32
248;18970;26596;18253;29544;5626;46502;49875;28775;7,67;41,34
249;18960;26619;18222;29537;5635;46478;49903;28824;7,59;41,32
250;19033;26518;18256;29606;5613;46426;49913;28766;7,59;41,32
251;19013;26631;18159;29561;5617;46350;49859;28732;7,63;41,32
252;18998;26642;18246;29511;5567;46437;49786;28752;7,59;41,33
253;18968;26578;18233;29598;5604;46442;49779;28805;7,59;41,33
254;19013;26525;18255;29547;5673;46382;49835;28754;7,67;41,33
255;19000;26584;18154;29569;5620;46419;49786;28728;7,59;41,32
256;18906;26577;18164;29524;5553;46383;49839;28781;7,59;41,32
257;19020;26608;18195;29499;5573;46450;49857;28794;7,63;41,32
258;18933;26627;18162;29455;5646;46396;49814;28770;7,59;41,31
259;18940;26531;18184;29555;5586;46365;49761;28732;7,59;41,32
260;19009;26509;18163;29536;5645;46356;49829;28767;7,59;41,32
261;18893;26520;18126;29566;5577;46368;49833;28743;7,59;41,32
262;18875;26593;18131;29526;5554;46420;49798;28760;7,59;41,32
263;18948;26552;18109;29543;5516;46413;49824;28683;7,59;41,32
264;18911;26528;18104;29524;5625;46428;49806;28701;7,59;41,32
265;18984;26647;18189;29546;5609;46366;49805;28797;7,52;41,32
266;18895;26617;18145;29516;5658;46435;49780;28720;7,59;41,33
267;18928;26619;18118;29474;5598;46390;49786;28767;7,59;41,33
268;18828;26561;18094;29526;5559;46424;49743;28748;7,59;41,33
269;18893;26584;18208;29414;5602;46362;49792;28764;7,59;41,33
270;18815;26570;18107;29537;5595;46421;49797;28782;7,59;41,32
271;18858;26597;18035;29543;5612;46428;49797;28695;7,59;41,31
272;18837;26563;18122;29506;5542;46376;49774;28810;7,59;41,32
273;18858;26611;18046;29491;5606;46354;49737;28770;7,59;41,31
274;18841;26595;17994;29455;5616;46429;49749;28779;7,59;41,31
275;18896;26539;18090;29452;5551;46425;49775;28706;7,67;41,32
276;18843;26578;18024;29472;5543;46361;49751;28711;7,56;41,33
277;18893;26594;18068;29421;5577;46417;49774;28700;7,52;41,32
278;18824;26557;18090;29435;5616;46411;49731;28672;7,52;41,32
279;18785;26575;18009;29441;5624;46403;49773;28770;7,59;41,32
280;18867;26598;18017;29425;5526;46441;49794;28811;7,59;41,32
281;18770;26593;18059;29460;5619;46447;49724;28684;7,59;41,31
282;18841;26473;18132;29400;5645;46449;49781;28719;7,59;41,32
283;18764;26505;18056;29496;5596;46450;49722;28677;7,59;41,32
284;18768;26546;18089;29398;5563;46448;49775;28735;7,59;41,31
285;18803;26540;18078;29470;5563;46382;49756;28701;7,59;41,3
286;18865;26639;18123;29422;5565;46403;49746;28697;7,59;41,31
287;18885;26531;18069;29422;5567;46388;49769;28675;7,67;41,31
288;18866;26495;18111;29462;5577;46393;49738;28743;7,59;41,31
289;18793;26517;18013;29418;5645;46459;49759;28697;7,59;41,32
290;18787;26529;18144;29507;5512;46395;49705;28676;7,59;41,33
291;18789;26520;18098;29433;5535;46392;49700;28703;7,59;41,32
292;18793;26581;18124;29398;5565;46424;49773;28708;7,59;41,31
293;18786;26508;18162;29448;5599;46372;49733;28728;7,59;41,33
294;18724;26601;18160;29401;5656;46372;49735;28763;7,59;41,32
295;18816;26615;18208;29388;5551;46344;49726;28718;7,59;41,32
296;18803;26510;18129;29477;5614;46394;49612;28746;7,67;41,31
297;18818;26519;18169;29421;5570;46499;49707;28747;7,67;41,31
298;18775;26529;18152;29473;5643;46351;49698;28677;7,67;41,31
299;18865;26563;18177;29412;5620;46385;49686;28721;7,67;41,32
300;18864;26521;18162;29406;5574;46447;49779;28739;7,67;41,33
301;18836;26562;18130;29425;5583;46408;49727;28695;7,67;41,32
302;18809;26529;18143;29446;5558;46418;49720;28760;7,67;41,32
303;18863;26499;18243;29398;5558;46423;49744;28753;7,67;41,32
304;18758;26523;18121;29473;5589;46435;49764;28741;7,67;41,32
305;18881;26476;18201;29446;5678;46425;49735;28798;7,67;41,32
306;18855;26472;18103;29405;5602;46365;49753;28727;7,67;41,32
307;18822;26553;18223;29503;5599;46387;49745;28752;7,67;41,32
308;18861;26414;18207;29492;5553;46424;49706;28840;7,67;41,33
309;18799;26557;18151;29466;5587;46378;49706;28798;7,67;41,33
310;18889;26478;18155;29506;5602;46399;49783;28750;7,59;41,33
311;18854;26489;18140;29468;5628;46422;49752;28732;7,67;41,32
312;18841;26517;18162;29535;5632;46438;49721;28697;7,67;41,32
313;18885;26531;18245;29553;5558;46444;49708;28787;7,67;41,32
314;18881;26482;18114;29426;5603;46405;49773;28757;7,59;41,33
315;18862;26498;18153;29436;5558;46304;49718;28732;7,67;41,32
316;18823;26537;18123;29473;5604;46477;49744;28716;7,67;41,32
317;18873;26381;18133;29440;5659;46368;49782;28743;7,59;41,33
318;18871;26485;18114;29412;5597;46421;49706;28753;7,67;41,32
319;18841;26505;18114;29500;5651;46380;49728;28749;7,67;41,32
320;18774;26531;18135;29475;5612;46401;49734;28767;7,59;41,32
321;18831;26498;18100;29353;5644;46422;49754;28729;7,67;41,32
322;18851;26532;18046;29453;5641;46378;49753;28759;7,59;41,32
323;18746;26397;18058;29385;5606;46456;49677;28777;7,59;41,33
324;18782;26467;18043;29507;5613;46448;49756;28645;7,67;41,31
325;18855;26549;18072;29384;5617;46399;49785;28683;7,63;41,32
326;18784;26449;18045;29411;5624;46363;49732;28700;7,59;41,32
327;18745;26531;18137;29375;5627;46441;49648;28677;7,63;41,32
328;18840;26539;18148;29417;5563;46382;49705;28716;7,59;41,32
329;18788;26556;18015;29439;5580;46406;49726;28663;7,59;41,32
330;18781;26515;18088;29405;5589;46379;49711;28782;7,59;41,32
331;18861;26439;18089;29434;5635;46448;49673;28782;7,59;41,33
332;18863;26578;18195;29418;5535;46442;49675;28708;7,67;41,33
333;18787;26449;18094;29406;5613;46368;49734;28739;7,67;41,31
334;18833;26663;18123;29421;5620;46412;49740;28720;7,67;41,32
335;18789;26513;18142;29341;5617;46423;49703;28739;7,67;41,33
336;18794;26435;18173;29448;5629;46464;49683;28742;7,67;41,33
337;18799;26499;18261;29428;5594;46455;49724;28778;7,67;41,33
338;18799;26528;18129;29414;5706;46414;49727;28653;7,67;41,33
339;18838;26530;18247;29492;5582;46322;49707;28727;7,67;41,33
340;18824;26491;18154;29474;5588;46421;49743;28748;7,67;41,33
341;18852;26610;18286;29458;5636;46430;49713;28685;7,67;41,32
342;18830;26459;18186;29425;5596;46409;49708;28786;7,67;41,33
343;18859;26527;18208;29404;5619;46463;49793;28728;7,67;41,33
344;18821;26600;18103;29404;5590;46421;49745;28794;7,67;41,33
345;18845;26545;18178;29439;5698;46489;49784;28750;7,67;41,32
346;18800;26472;18197;29466;5646;46420;49689;28774;7,67;41,31
347;18883;26437;18184;29450;5592;46378;49770;28815;7,67;41,32
348;18944;26494;18243;29378;5638;46412;49662;28715;7,67;41,32
349;18878;26546;18160;29467;5606;46399;49810;28797;7,67;41,34
350;18853;26449;18220;29372;5623;46362;49703;28735;7,67;41,32
351;18870;26500;18214;29481;5608;46429;49751;28767;7,67;41,32
352;18835;26472;18165;29495;5624;46412;49682;28757;7,67;41,33
353;18835;26493;18185;29366;5575;46448;49721;28779;7,74;41,33
354;18862;26583;18183;29442;5631;46394;49794;28747;7,67;41,33
355;18886;26517;18285;29530;5568;46447;49747;28683;7,67;41,32
356;18953;26527;18224;29466;5608;46473;49719;28752;7,74;41,32
357;18916;26589;18243;29477;5653;46451;49775;28719;7,67;41,33
358;18800;26445;18191;29427;5597;46452;49728;28787;7,7;41,33
359;18874;26566;18143;29454;5564;46378;49768;28732;7,74;41,32
360;18902;26546;18166;29508;5626;46417;49742;28798;7,67;41,32
361;18956;26613;18190;29457;5617;46398;49733;28665;7,67;41,33
362;18847;26516;18187;29401;5583;46403;49741;28751;7,67;41,33
363;18821;26462;18133;29512;5626;46469;49778;28712;7,67;41,33
364;18896;26493;18141;29449;5570;46459;49692;28751;7,67;41,32
365;18885;26485;18189;29414;5624;46427;49705;28815;7,59;41,32
366;18888;26515;18218;29457;5674;46429;49762;28760;7,67;41,32
367;18814;26505;18157;29439;5628;46421;49709;28804;7,59;41,32
368;18744;26595;18113;29448;5652;46401;49773;28778;7,63;41,32
369;18851;26454;18092;29436;5673;46512;49760;28836;7,67;41,31
370;18908;26442;18187;29407;5601;46430;49722;28765;7,59;41,32
371;18882;26465;18096;29427;5655;46508;49706;28766;7,59;41,32
372;18865;26550;18140;29431;5594;46451;49766;28767;7,67;41,32
373;18898;26491;18133;29397;5521;46419;49685;28802;7,59;41,32
374;18882;26540;18192;29476;5592;46454;49706;28768;7,67;41,32
375;18833;26441;18189;29423;5585;46451;49704;28774;7,59;41,31
376;18775;26420;18126;29407;5582;46449;49733;28702;7,67;41,32
377;18839;26403;18159;29381;5653;46410;49683;28774;7,59;41,31
378;18841;26451;18094;29358;5561;46447;49715;28760;7,59;41,3
379;18791;26458;18133;29408;5611;46375;49700;28739;7,59;41,31
380;18744;26381;18144;29431;5666;46419;49672;28731;7,63;41,31
381;18774;26447;18221;29447;5551;46436;49735;28726;7,59;41,31
382;18827;26440;18129;29406;5585;46463;49720;28729;7,67;41,31
383;18831;26390;18167;29406;5663;46431;49733;28673;7,67;41,32
384;18848;26526;18165;29471;5550;46420;49715;28788;7,67;41,31
385;18876;26593;18115;29428;5592;46327;49672;28644;7,59;41,31
386;18762;26483;18164;29491;5656;46412;49707;28726;7,67;41,31
387;18914;26531;18192;29467;5667;46463;49762;28744;7,59;41,32
388;18810;26475;18116;29430;5641;46454;49754;28720;7,67;41,32
389;18828;26464;18138;29443;5670;46507;49727;28693;7,59;41,31
390;18867;26478;18133;29448;5622;46501;49669;28720;7,63;41,32
391;18840;26396;18163;29437;5618;46484;49738;28703;7,67;41,31
392;18837;26547;18054;29428;5588;46439;49699;28784;7,67;41,31
393;18903;26475;18166;29396;5633;46498;49749;28749;7,67;41,31
394;18872;26404;18149;29418;5558;46519;49760;28722;7,67;41,31
395;18829;26466;18233;29483;5604;46413;49694;28780;7,67;41,31
396;18803;26420;18177;29441;5637;46465;49743;28720;7,67;41,3
397;18894;26584;18143;29462;5637;46473;49706;28742;7,74;41,32
398;18875;26378;18227;29449;5647;46478;49713;28706;7,67;41,31
399;18840;26469;18190;29472;5617;46451;49785;28776;7,67;41,33
400;18892;26539;18172;29432;5533;46461;49730;28787;7,67;41,32
401;18866;26431;18169;29446;5557;46407;49718;28823;7,67;41,32
402;18905;26411;18152;29447;5599;46434;49722;28689;7,59;41,31
403;18869;26413;18123;29436;5638;46441;49732;28765;7,67;41,31
404;18818;26375;18117;29402;5606;46447;49726;28664;7,63;41,3
405;18875;26517;18118;29429;5609;46385;49671;28734;7,67;41,31
406;18845;26405;18110;29413;5618;46455;49702;28747;7,67;41,31
407;18811;26507;18054;29458;5634;46394;49710;28653;7,59;41,3
408;18894;26522;18121;29415;5635;46476;49700;28722;7,59;41,31
409;18803;26361;18094;29402;5593;46425;49673;28790;7,67;41,32
