Time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;Humidity;Temperature
47.0;19460.0;26999.0;18445.0;29929.0;5599.0;46468.0;50182.0;28866.0;7.59;41.31;;;;;;;;;
48.0;19552.0;26906.0;18573.0;29891.0;5641.0;46433.0;50192.0;28809.0;7.63;41.32;;;;;;;;;
49.0;19520.0;26892.0;18522.0;29971.0;5638.0;46455.0;50195.0;28879.0;7.63;41.31;;;;;;;;;
50.0;19507.0;26951.0;18550.0;29888.0;5524.0;46390.0;50315.0;28831.0;7.67;41.32;;;;;;;;;
51.0;19499.0;26990.0;18517.0;29932.0;5677.0;46416.0;50179.0;28844.0;7.63;41.31;;;;;;;;;
52.0;19535.0;26884.0;18529.0;29839.0;5575.0;46437.0;50268.0;28896.0;7.67;41.32;;;;;;;;;
53.0;19501.0;26830.0;18596.0;29866.0;5639.0;46412.0;50165.0;28869.0;7.67;41.32;;;;;;;;;
54.0;19509.0;26832.0;18582.0;29918.0;5663.0;46406.0;50177.0;28891.0;7.63;41.32;;;;;;;;;
55.0;19562.0;27008.0;18632.0;29919.0;5552.0;46476.0;50213.0;28814.0;7.67;41.31;;;;;;;;;
56.0;19514.0;26918.0;18495.0;29916.0;5614.0;46424.0;50235.0;28867.0;7.67;41.31;;;;;;;;;
57.0;19513.0;26823.0;18538.0;29932.0;5575.0;46498.0;50300.0;28873.0;7.67;41.3;;;;;;;;;
58.0;19512.0;26934.0;18578.0;29969.0;5584.0;46604.0;50256.0;28827.0;7.67;41.32;;;;;;;;;
59.0;19557.0;26914.0;18583.0;29927.0;5625.0;46439.0;50180.0;28831.0;7.67;41.31;;;;;;;;;
60.0;19586.0;26932.0;18652.0;29876.0;5571.0;46480.0;50263.0;28810.0;7.67;41.31;;;;;;;;;
61.0;19575.0;26957.0;18650.0;29919.0;5657.0;46468.0;50240.0;28800.0;7.67;41.32;;;;;;;;;
62.0;19622.0;26886.0;18641.0;29929.0;5621.0;46479.0;50238.0;28855.0;7.67;41.32;;;;;;;;;
63.0;19668.0;26882.0;18637.0;29946.0;5566.0;46481.0;50220.0;28881.0;7.67;41.33;;;;;;;;;
64.0;19606.0;26850.0;18573.0;29965.0;5588.0;46554.0;50234.0;28839.0;7.67;41.32;;;;;;;;;
65.0;19583.0;26858.0;18621.0;29925.0;5554.0;46467.0;50278.0;28909.0;7.67;41.33;;;;;;;;;
66.0;19563.0;26824.0;18598.0;29902.0;5498.0;46403.0;50202.0;28837.0;7.67;41.32;;;;;;;;;
67.0;19566.0;26963.0;18643.0;29962.0;5602.0;46395.0;50261.0;28815.0;7.59;41.33;;;;;;;;;
68.0;19642.0;27030.0;18681.0;29911.0;5556.0;46470.0;50269.0;28848.0;7.67;41.33;;;;;;;;;
69.0;19548.0;26917.0;18536.0;29935.0;5581.0;46472.0;50292.0;28847.0;7.67;41.33;;;;;;;;;
70.0;19527.0;26871.0;18524.0;29948.0;5613.0;46461.0;50216.0;28879.0;7.67;41.33;;;;;;;;;
71.0;19604.0;26993.0;18564.0;29879.0;5649.0;46415.0;50274.0;28857.0;7.67;41.32;;;;;;;;;
72.0;19531.0;26859.0;18540.0;29846.0;5629.0;46473.0;50262.0;28886.0;7.67;41.32;;;;;;;;;
73.0;19540.0;26832.0;18571.0;29933.0;5688.0;46400.0;50148.0;28852.0;7.67;41.32;;;;;;;;;
74.0;19514.0;26983.0;18508.0;29946.0;5670.0;46422.0;50265.0;28930.0;7.59;41.31;;;;;;;;;
75.0;19524.0;26923.0;18569.0;29946.0;5652.0;46448.0;50130.0;28852.0;7.59;41.31;;;;;;;;;
76.0;19544.0;26926.0;18456.0;29935.0;5635.0;46472.0;50202.0;28827.0;7.67;41.32;;;;;;;;;
77.0;19504.0;26949.0;18558.0;29944.0;5578.0;46486.0;50262.0;28818.0;7.63;41.32;;;;;;;;;
78.0;19601.0;26846.0;18554.0;29893.0;5639.0;46437.0;50211.0;28815.0;7.63;41.34;;;;;;;;;
79.0;19525.0;26850.0;18534.0;29883.0;5627.0;46410.0;50201.0;28827.0;7.59;41.32;;;;;;;;;
80.0;19551.0;26932.0;18377.0;29913.0;5599.0;46434.0;50198.0;28842.0;7.59;41.32;;;;;;;;;
81.0;19517.0;26926.0;18539.0;29913.0;5693.0;46474.0;50179.0;28871.0;7.59;41.33;;;;;;;;;
82.0;19483.0;26870.0;18412.0;29892.0;5649.0;46457.0;50186.0;28876.0;7.59;41.32;;;;;;;;;
83.0;19604.0;26815.0;18542.0;29900.0;5663.0;46432.0;50126.0;28815.0;7.67;41.33;;;;;;;;;
84.0;19540.0;26840.0;18500.0;29855.0;5665.0;46521.0;50207.0;28859.0;7.59;41.33;;;;;;;;;
85.0;19473.0;26997.0;18479.0;29893.0;5553.0;46392.0;50116.0;28917.0;7.59;41.33;;;;;;;;;
86.0;19498.0;26912.0;18407.0;29912.0;5674.0;46476.0;50174.0;28833.0;7.59;41.32;;;;;;;;;
87.0;19452.0;26952.0;18474.0;29920.0;5573.0;46412.0;50152.0;28837.0;7.59;41.33;;;;;;;;;
88.0;19444.0;26849.0;18518.0;29895.0;5613.0;46441.0;50171.0;28861.0;7.59;41.33;;;;;;;;;
89.0;19456.0;26758.0;18432.0;29862.0;5627.0;46476.0;50130.0;28839.0;7.59;41.34;;;;;;;;;
90.0;19421.0;26842.0;18469.0;29831.0;5594.0;46436.0;50198.0;28871.0;7.59;41.33;;;;;;;;;
91.0;19463.0;26944.0;18413.0;29859.0;5658.0;46444.0;50152.0;28867.0;7.67;41.32;;;;;;;;;
92.0;19490.0;26890.0;18422.0;29908.0;5589.0;46406.0;50117.0;28838.0;7.59;41.33;;;;;;;;;
93.0;19403.0;26811.0;18429.0;29939.0;5645.0;46464.0;50116.0;28802.0;7.59;41.32;;;;;;;;;
94.0;19398.0;26841.0;18537.0;29838.0;5635.0;46527.0;50205.0;28889.0;7.59;41.33;;;;;;;;;
95.0;19392.0;26809.0;18464.0;29837.0;5670.0;46401.0;50176.0;28850.0;7.59;41.32;;;;;;;;;
96.0;19379.0;26941.0;18446.0;29885.0;5656.0;46442.0;50180.0;28813.0;7.63;41.33;;;;;;;;;
97.0;19461.0;26804.0;18455.0;29830.0;5661.0;46409.0;50202.0;28829.0;7.59;41.33;;;;;;;;;
98.0;19474.0;26795.0;18443.0;29839.0;5652.0;46466.0;50152.0;28766.0;7.67;41.33;;;;;;;;;
99.0;19440.0;26997.0;18434.0;29943.0;5582.0;46409.0;50126.0;28845.0;7.59;41.33;;;;;;;;;
100.0;19406.0;26798.0;18506.0;29815.0;5583.0;46381.0;50145.0;28821.0;7.59;41.33;;;;;;;;;
101.0;19415.0;26790.0;18445.0;29856.0;5644.0;46397.0;50100.0;28858.0;7.59;41.32;;;;;;;;;
102.0;19427.0;26896.0;18468.0;29837.0;5627.0;46404.0;50155.0;28787.0;7.59;41.32;;;;;;;;;
103.0;19442.0;26768.0;18457.0;29818.0;5655.0;46365.0;50203.0;28791.0;7.67;41.33;;;;;;;;;
104.0;19450.0;26809.0;18436.0;29868.0;5613.0;46450.0;50168.0;28885.0;7.59;41.33;;;;;;;;;
105.0;19431.0;27002.0;18560.0;29957.0;5645.0;46388.0;50225.0;28840.0;7.59;41.32;;;;;;;;;
106.0;19418.0;26816.0;18553.0;29816.0;5682.0;46438.0;50096.0;28832.0;7.63;41.34;;;;;;;;;
107.0;19521.0;26848.0;18401.0;29824.0;5620.0;46507.0;50127.0;28841.0;7.67;41.32;;;;;;;;;
108.0;19475.0;26892.0;18508.0;29894.0;5559.0;46485.0;50157.0;28876.0;7.67;41.33;;;;;;;;;
109.0;19471.0;26767.0;18516.0;29869.0;5637.0;46470.0;50172.0;28798.0;7.63;41.33;;;;;;;;;
110.0;19480.0;26780.0;18470.0;29855.0;5595.0;46510.0;50211.0;28852.0;7.59;41.32;;;;;;;;;
111.0;19451.0;26817.0;18467.0;29806.0;5657.0;46473.0;50152.0;28822.0;7.59;41.33;;;;;;;;;
112.0;19494.0;26824.0;18419.0;29881.0;5688.0;46420.0;50096.0;28808.0;7.67;41.32;;;;;;;;;
113.0;19501.0;26939.0;18446.0;29847.0;5513.0;46530.0;50119.0;28851.0;7.59;41.33;;;;;;;;;
114.0;19497.0;26961.0;18469.0;29855.0;5633.0;46422.0;50253.0;28874.0;7.59;41.31;;;;;;;;;
115.0;19473.0;26831.0;18500.0;29816.0;5569.0;46529.0;50149.0;28885.0;7.59;41.32;;;;;;;;;
116.0;19441.0;26890.0;18419.0;29797.0;5677.0;46486.0;50213.0;28795.0;7.59;41.32;;;;;;;;;
117.0;19482.0;26856.0;18482.0;29865.0;5592.0;46379.0;50143.0;28804.0;7.59;41.32;;;;;;;;;
118.0;19359.0;26777.0;18443.0;29806.0;5581.0;46472.0;50158.0;28843.0;7.59;41.32;;;;;;;;;
119.0;19418.0;26832.0;18495.0;29865.0;5662.0;46495.0;50110.0;28808.0;7.59;41.32;;;;;;;;;
120.0;19399.0;26806.0;18370.0;29812.0;5674.0;46506.0;50105.0;28790.0;7.59;41.32;;;;;;;;;
121.0;19413.0;26879.0;18460.0;29859.0;5640.0;46442.0;50130.0;28865.0;7.63;41.32;;;;;;;;;
122.0;19483.0;26898.0;18506.0;29785.0;5591.0;46444.0;50180.0;28909.0;7.67;41.34;;;;;;;;;
123.0;19493.0;26885.0;18478.0;29875.0;5637.0;46446.0;50131.0;28832.0;7.67;41.32;;;;;;;;;
124.0;19554.0;26919.0;18484.0;29875.0;5629.0;46442.0;50174.0;28868.0;7.67;41.32;;;;;;;;;
125.0;19476.0;26943.0;18503.0;29834.0;5625.0;46464.0;50140.0;28827.0;7.67;41.32;;;;;;;;;
126.0;19517.0;26850.0;18566.0;29876.0;5705.0;46486.0;50200.0;28838.0;7.59;41.33;;;;;;;;;
127.0;19437.0;26818.0;18526.0;29853.0;5565.0;46479.0;50182.0;28901.0;7.67;41.32;;;;;;;;;
128.0;19459.0;26859.0;18556.0;29880.0;5648.0;46509.0;50262.0;28865.0;7.67;41.32;;;;;;;;;
129.0;19505.0;26899.0;18582.0;29860.0;5606.0;46516.0;50222.0;28843.0;7.67;41.31;;;;;;;;;
130.0;19482.0;26943.0;18580.0;29801.0;5621.0;46461.0;50144.0;28822.0;7.67;41.32;;;;;;;;;
131.0;19553.0;26970.0;18618.0;29823.0;5690.0;46499.0;50185.0;28808.0;7.67;41.33;;;;;;;;;
132.0;19497.0;26880.0;18533.0;29901.0;5571.0;46604.0;50143.0;28865.0;7.67;41.33;;;;;;;;;
133.0;19523.0;26970.0;18563.0;29930.0;5660.0;46429.0;50179.0;28835.0;7.63;41.32;;;;;;;;;
134.0;19521.0;26748.0;18534.0;29915.0;5697.0;46485.0;50121.0;28889.0;7.67;41.33;;;;;;;;;
135.0;19610.0;26963.0;18597.0;29923.0;5587.0;46477.0;50257.0;28928.0;7.67;41.32;;;;;;;;;
136.0;19490.0;26929.0;18580.0;29929.0;5654.0;46401.0;50216.0;28861.0;7.67;41.33;;;;;;;;;
137.0;19554.0;26958.0;18506.0;29913.0;5648.0;46486.0;50229.0;28906.0;7.67;41.32;;;;;;;;;
138.0;19523.0;26984.0;18546.0;29841.0;5595.0;46586.0;50279.0;28871.0;7.67;41.32;;;;;;;;;
139.0;19574.0;26957.0;18629.0;29873.0;5581.0;46406.0;50236.0;28788.0;7.67;41.32;;;;;;;;;
140.0;19591.0;26983.0;18539.0;29850.0;5663.0;46487.0;50241.0;28777.0;7.67;41.32;;;;;;;;;
141.0;19510.0;26839.0;18552.0;29855.0;5670.0;46472.0;50255.0;28902.0;7.63;41.32;;;;;;;;;
142.0;19528.0;26873.0;18577.0;29882.0;5617.0;46485.0;50254.0;28918.0;7.59;41.32;;;;;;;;;
143.0;19532.0;26898.0;18569.0;29948.0;5657.0;46475.0;50188.0;28906.0;7.67;41.32;;;;;;;;;
144.0;19528.0;26858.0;18503.0;29868.0;5613.0;46544.0;50181.0;28832.0;7.67;41.31;;;;;;;;;
145.0;19569.0;26906.0;18517.0;29917.0;5679.0;46468.0;50157.0;28904.0;7.67;41.33;;;;;;;;;
146.0;19541.0;26758.0;18574.0;29935.0;5606.0;46524.0;50232.0;28916.0;7.59;41.33;;;;;;;;;
147.0;19568.0;26805.0;18499.0;29917.0;5701.0;46536.0;50250.0;28846.0;7.59;41.32;;;;;;;;;
148.0;19608.0;26845.0;18550.0;29857.0;5561.0;46433.0;50158.0;28915.0;7.59;41.32;;;;;;;;;
149.0;19535.0;26788.0;18515.0;29940.0;5597.0;46500.0;50233.0;28858.0;7.67;41.33;;;;;;;;;
150.0;19483.0;26741.0;18532.0;29893.0;5623.0;46457.0;50186.0;28836.0;7.59;41.32;;;;;;;;;
151.0;19455.0;26890.0;18446.0;29902.0;5613.0;46464.0;50188.0;28916.0;7.59;41.32;;;;;;;;;
152.0;19490.0;26796.0;18437.0;29903.0;5546.0;46478.0;50146.0;28856.0;7.59;41.31;;;;;;;;;
153.0;19536.0;26784.0;18468.0;29911.0;5546.0;46512.0;50260.0;28885.0;7.59;41.32;;;;;;;;;
154.0;19493.0;26754.0;18403.0;29898.0;5598.0;46514.0;50107.0;28838.0;7.59;41.33;;;;;;;;;
155.0;19521.0;26763.0;18416.0;29914.0;5618.0;46459.0;50181.0;28848.0;7.56;41.32;;;;;;;;;
156.0;19437.0;26800.0;18424.0;29818.0;5581.0;46441.0;50171.0;28845.0;7.59;41.32;;;;;;;;;
157.0;19483.0;26897.0;18467.0;29860.0;5655.0;46512.0;50161.0;28888.0;7.59;41.32;;;;;;;;;
158.0;19404.0;26759.0;18372.0;29762.0;5594.0;46467.0;50100.0;28865.0;7.59;41.32;;;;;;;;;
159.0;19458.0;26741.0;18429.0;29844.0;5671.0;46341.0;50102.0;28830.0;7.59;41.31;;;;;;;;;
160.0;19420.0;26779.0;18407.0;29718.0;5665.0;46521.0;50088.0;28820.0;7.59;41.31;;;;;;;;;
161.0;19451.0;26765.0;18284.0;29814.0;5600.0;46512.0;50107.0;28886.0;7.59;41.32;;;;;;;;;
162.0;19378.0;26720.0;18443.0;29809.0;5560.0;46463.0;50046.0;28891.0;7.59;41.32;;;;;;;;;
163.0;19481.0;26756.0;18350.0;29767.0;5575.0;46455.0;50107.0;28854.0;7.59;41.31;;;;;;;;;
164.0;19363.0;26835.0;18362.0;29812.0;5644.0;46389.0;50020.0;28751.0;7.59;41.32;;;;;;;;;
165.0;19399.0;26734.0;18444.0;29768.0;5676.0;46434.0;50086.0;28911.0;7.59;41.31;;;;;;;;;
166.0;19367.0;26722.0;18425.0;29790.0;5565.0;46421.0;50074.0;28822.0;7.59;41.32;;;;;;;;;
167.0;19331.0;26815.0;18498.0;29780.0;5604.0;46433.0;50114.0;28819.0;7.59;41.32;;;;;;;;;
168.0;19430.0;26727.0;18446.0;29810.0;5597.0;46458.0;50130.0;28916.0;7.59;41.33;;;;;;;;;
169.0;19288.0;26681.0;18356.0;29810.0;5640.0;46406.0;50066.0;28838.0;7.59;41.32;;;;;;;;;
170.0;19358.0;26877.0;18376.0;29843.0;5635.0;46474.0;50069.0;28885.0;7.59;41.32;;;;;;;;;
171.0;19326.0;26735.0;18389.0;29779.0;5646.0;46442.0;50047.0;28831.0;7.59;41.33;;;;;;;;;
172.0;19373.0;26796.0;18356.0;29745.0;5545.0;46490.0;50001.0;28762.0;7.59;41.33;;;;;;;;;
173.0;19343.0;26798.0;18416.0;29767.0;5608.0;46420.0;50088.0;28823.0;7.59;41.32;;;;;;;;;
174.0;19294.0;26682.0;18467.0;29739.0;5589.0;46470.0;50054.0;28822.0;7.67;41.33;;;;;;;;;
175.0;19395.0;26826.0;18352.0;29814.0;5619.0;46352.0;50093.0;28883.0;7.67;41.33;;;;;;;;;
176.0;19297.0;26699.0;18331.0;29741.0;5597.0;46381.0;50092.0;28830.0;7.59;41.32;;;;;;;;;
177.0;19329.0;26590.0;18389.0;29779.0;5613.0;46333.0;50004.0;28898.0;7.59;41.32;;;;;;;;;
178.0;19289.0;26825.0;18442.0;29771.0;5595.0;46447.0;50034.0;28795.0;7.59;41.32;;;;;;;;;
179.0;19283.0;26727.0;18324.0;29801.0;5585.0;46498.0;50026.0;28851.0;7.59;41.33;;;;;;;;;
180.0;19309.0;26736.0;18313.0;29770.0;5623.0;46494.0;50027.0;28825.0;7.59;41.33;;;;;;;;;
181.0;19321.0;26654.0;18408.0;29727.0;5471.0;46493.0;50039.0;28828.0;7.59;41.34;;;;;;;;;
182.0;19258.0;26705.0;18345.0;29795.0;5622.0;46437.0;50009.0;28795.0;7.67;41.33;;;;;;;;;
183.0;19255.0;26781.0;18333.0;29750.0;5573.0;46444.0;50023.0;28823.0;7.59;41.33;;;;;;;;;
184.0;19290.0;26644.0;18424.0;29772.0;5589.0;46449.0;49983.0;28862.0;7.59;41.33;;;;;;;;;
185.0;19285.0;26739.0;18381.0;29758.0;5580.0;46438.0;50039.0;28803.0;7.59;41.32;;;;;;;;;
186.0;19259.0;26680.0;18281.0;29719.0;5622.0;46413.0;50044.0;28879.0;7.59;41.32;;;;;;;;;
187.0;19292.0;26687.0;18356.0;29756.0;5603.0;46468.0;49949.0;28836.0;7.59;41.32;;;;;;;;;
188.0;19328.0;26717.0;18464.0;29721.0;5563.0;46371.0;49924.0;28820.0;7.59;41.33;;;;;;;;;
189.0;19289.0;26641.0;18370.0;29766.0;5606.0;46466.0;50040.0;28840.0;7.59;41.32;;;;;;;;;
190.0;19195.0;26601.0;18286.0;29715.0;5632.0;46415.0;50016.0;28829.0;7.59;41.33;;;;;;;;;
191.0;19277.0;26674.0;18329.0;29723.0;5635.0;46346.0;49963.0;28842.0;7.63;41.32;;;;;;;;;
192.0;19185.0;26697.0;18283.0;29709.0;5633.0;46465.0;50030.0;28767.0;7.59;41.32;;;;;;;;;
193.0;19193.0;26761.0;18260.0;29738.0;5586.0;46424.0;49968.0;28827.0;7.59;41.32;;;;;;;;;
194.0;19193.0;26738.0;18228.0;29650.0;5661.0;46462.0;50032.0;28826.0;7.59;41.31;;;;;;;;;
195.0;19212.0;26633.0;18357.0;29714.0;5674.0;46409.0;49987.0;28808.0;7.59;41.32;;;;;;;;;
196.0;19118.0;26656.0;18347.0;29654.0;5611.0;46422.0;49955.0;28840.0;7.59;41.32;;;;;;;;;
197.0;19140.0;26679.0;18295.0;29661.0;5627.0;46437.0;49982.0;28813.0;7.59;41.32;;;;;;;;;
198.0;19199.0;26786.0;18323.0;29686.0;5612.0;46444.0;49993.0;28797.0;7.59;41.33;;;;;;;;;
199.0;19252.0;26746.0;18309.0;29617.0;5623.0;46432.0;49943.0;28878.0;7.59;41.32;;;;;;;;;
200.0;19190.0;26632.0;18301.0;29674.0;5618.0;46449.0;50008.0;28850.0;7.59;41.32;;;;;;;;;
201.0;19145.0;26658.0;18324.0;29639.0;5578.0;46405.0;49938.0;28844.0;7.59;41.31;;;;;;;;;
202.0;19141.0;26687.0;18279.0;29642.0;5656.0;46439.0;49990.0;28814.0;7.59;41.31;;;;;;;;;
203.0;19108.0;26672.0;18245.0;29649.0;5610.0;46396.0;49940.0;28818.0;7.59;41.31;;;;;;;;;
204.0;19226.0;26658.0;18237.0;29743.0;5625.0;46464.0;50031.0;28761.0;7.59;41.32;;;;;;;;;
205.0;19152.0;26676.0;18349.0;29638.0;5534.0;46458.0;49936.0;28755.0;7.59;41.33;;;;;;;;;
206.0;19119.0;26660.0;18351.0;29727.0;5615.0;46488.0;49899.0;28853.0;7.59;41.33;;;;;;;;;
207.0;19153.0;26797.0;18263.0;29592.0;5580.0;46410.0;49964.0;28857.0;7.59;41.32;;;;;;;;;
208.0;19219.0;26796.0;18288.0;29685.0;5692.0;46436.0;49899.0;28856.0;7.59;41.33;;;;;;;;;
209.0;19167.0;26787.0;18274.0;29584.0;5599.0;46455.0;49895.0;28788.0;7.59;41.33;;;;;;;;;
210.0;19093.0;26805.0;18224.0;29600.0;5587.0;46440.0;49995.0;28715.0;7.59;41.33;;;;;;;;;
211.0;19086.0;26619.0;18250.0;29581.0;5657.0;46441.0;49914.0;28836.0;7.59;41.32;;;;;;;;;
212.0;19014.0;26683.0;18296.0;29663.0;5664.0;46439.0;49930.0;28792.0;7.59;41.33;;;;;;;;;
213.0;19135.0;26668.0;18250.0;29677.0;5600.0;46378.0;49926.0;28743.0;7.59;41.32;;;;;;;;;
214.0;19017.0;26631.0;18242.0;29600.0;5618.0;46418.0;49926.0;28778.0;7.59;41.34;;;;;;;;;
215.0;19106.0;26736.0;18265.0;29688.0;5579.0;46433.0;49941.0;28827.0;7.59;41.32;;;;;;;;;
216.0;19137.0;26741.0;18204.0;29668.0;5706.0;46452.0;49916.0;28810.0;7.59;41.33;;;;;;;;;
217.0;19071.0;26685.0;18158.0;29672.0;5605.0;46372.0;49889.0;28706.0;7.59;41.33;;;;;;;;;
218.0;19039.0;26672.0;18324.0;29616.0;5644.0;46388.0;49928.0;28789.0;7.59;41.32;;;;;;;;;
219.0;18983.0;26639.0;18251.0;29622.0;5635.0;46351.0;49866.0;28812.0;7.59;41.33;;;;;;;;;
220.0;19032.0;26666.0;18207.0;29665.0;5563.0;46375.0;49942.0;28706.0;7.59;41.32;;;;;;;;;
221.0;19076.0;26722.0;18207.0;29646.0;5563.0;46469.0;49936.0;28724.0;7.59;41.32;;;;;;;;;
222.0;19087.0;26681.0;18217.0;29644.0;5529.0;46381.0;49920.0;28735.0;7.59;41.32;;;;;;;;;
223.0;19090.0;26700.0;18250.0;29677.0;5596.0;46435.0;49892.0;28730.0;7.59;41.31;;;;;;;;;
224.0;19107.0;26724.0;18193.0;29653.0;5656.0;46412.0;49889.0;28723.0;7.59;41.31;;;;;;;;;
225.0;19017.0;26676.0;18266.0;29582.0;5564.0;46453.0;49860.0;28770.0;7.59;41.31;;;;;;;;;
226.0;19018.0;26686.0;18219.0;29595.0;5646.0;46470.0;49899.0;28781.0;7.59;41.33;;;;;;;;;
227.0;19000.0;26628.0;18207.0;29573.0;5527.0;46452.0;49857.0;28762.0;7.67;41.32;;;;;;;;;
